,Name,Industry,Sector,Headquarters,Founded,Notes
0,A. Favre & Fils,Consumer goods,Clothing & accessories,Carouge,1737,Watches
1,ABB Group,Industrials,Industrial machinery,Zürich/Västerås,1988,Power and automation technology
2,ACE Limited,Financials,Full line insurance,Zürich,1985,Insurance products
3,Actelion,Health care,Pharmaceuticals,Allschwil,1997,Pharmaceuticals
4,Alchimie Forever,Consumer goods,Personal products,Geneva,2003,Skin care products
5,Alcon,Health care,Pharmaceuticals,Hünenberg,1945,"Eye care products, part of Novartis"
6,Allseas,Oil & gas,Pipelines,Châtel-Saint-Denis,1985,"Pipelines, offshore services"
7,Alpa,Consumer goods,Recreational products,Zürich,1918,Cameras
8,ALSO Holding AG,Technology,Software,Emmen,1984,IT distribution and consulting
9,Alternative Bank Switzerland,Financials,Banks,Olten,1990,Sustainability-oriented banking
10,AMAG Automobil- und Motoren,Consumer services,Specialty retailers,Zürich,1945,Car importer and dealerships
11,AMCOR,Industrials,Containers & packaging,Zürich,1860,Packaging
12,Antiquorum,Consumer services,Specialized consumer services,Geneva,1974,Auction house
13,Ascom,Telecommunications,Mobile telecommunications,Baar,1987,Wireless
14,Atlanship SA,Industrials,Delivery services,La Tour-de-Peilz,1982,Freight transportation
15,Audemars Piguet,Consumer goods,Clothing & accessories,Le Brassus,1875,Watches
16,AutoForm,Technology,Software,Freienbach,1995,Software development
17,Axpo Holding,Utilities,Conventional electricity,Baden,2001,"Electric power, owned by cantons"
18,Baboo,Consumer services,Airlines,Geneva,2003,"Airline, defunct 2010"
19,Bally Shoe,Consumer goods,Footwear,Caslano,1851,"Shoes, part of JAB Holding Company (Luxembourg)"
20,Bâloise,Financials,Full line insurance,Caslano,1863,Insurance holding
21,Bamix,Consumer goods,Durable household products,Inwil,1954,Blenders
22,Banque SYZ,Financials,Banks,Geneva,1996,Private bank
23,Barry Callebaut,Consumer goods,Food products,Zürich,1996,Cocoa and chocolate
24,Basilea Pharmaceutica,Health care,Pharmaceuticals,Basel,2000,Specialty pharma
25,Bata Shoes,Consumer goods,Footwear,Lausanne,1894,Shoe company
26,Bauhaus,Consumer services,Home improvement retailers,Belp,1960,Home improvement
27,"Baumann & Cie, Banquiers",Financials,Banks,Basel,1920,Bank
28,BB Biotech,Financials,Equity investment instruments,Basel,1993,Investments in biotechnology companies
29,BDWM Transport,Consumer services,Travel & tourism,Bremgarten[6],2000,Passenger transport
30,Belair,Consumer services,Airlines,Opfikon,1925,"Airline, defunct 2017"
31,Berne eXchange,Financials,Investment services,Bern,1880,Stock exchange
